date,code,qty,rate,month
2026-04-22 14:50:52.085,500001,16,1296,2026-04
2026-04-22 14:50:52.085,500001,4,1295,2026-04
2026-04-22 14:50:52.085,500001,16,1295,2026-04
2026-04-22 14:50:52.085,500001,4,1295,2026-04
2026-04-22 14:50:52.085,10029028,4,1250,2026-04
2026-04-07 12:03:33.634,10027735,3,975,2026-04
2026-04-22 12:06:30.559,10029036,4,850,2026-04
2026-04-22 12:06:30.559,10029029,4,1250,2026-04
2026-04-21 18:09:26.124,10028960,3,1095,2026-04
2026-04-21 18:09:26.124,10028961,3,1095,2026-04
2026-04-08 17:25:19.920,10027574,4,995,2026-04
2026-04-22 12:10:25.978,10028518,4,795,2026-04
2026-04-22 12:10:25.978,10028448,4,775,2026-04
2025-10-13 21:10:10.000,10016728,4,875,2025-10
2026-04-20 14:01:05.613,10029036,4,850,2026-04
2026-04-08 17:34:34.817,10027760,4,995,2026-04
2025-09-03 16:23:21.000,500001,4,1295,2025-09
2026-04-21 19:06:29.293,10028892,4,1075,2026-04
2026-04-20 16:16:36.116,10028794,4,1095,2026-04
2026-04-20 16:16:36.117,10028831,4,875,2026-04
2026-04-20 16:16:36.117,10028757,4,550,2026-04
2026-04-20 16:16:36.117,10028758,4,550,2026-04
2026-04-20 16:16:36.118,10028755,4,550,2026-04
2026-04-20 16:16:36.118,10028845,3,1025,2026-04
2026-04-21 19:14:49.332,10028845,3,1025,2026-04
2026-04-21 19:14:49.332,10028794,4,1095,2026-04
2026-04-20 16:49:05.130,10027576,4,995,2026-04
2026-04-20 16:59:43.976,10028268,4,335,2026-04
2026-04-20 17:31:38.861,10028845,3,1025,2026-04
2026-04-07 15:32:01.571,10027632,3,750,2026-04
2026-04-07 19:31:32.899,10027612,4,995,2026-04
2026-04-07 19:31:32.899,10027634,3,750,2026-04
2026-04-07 19:31:32.899,10027632,3,750,2026-04
2026-04-07 19:31:32.900,10027635,3,750,2026-04
2026-04-07 19:58:45.578,10027760,3,995,2026-04
